index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
1378,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1379,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1380,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1381,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1382,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1383,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1384,Hints/Tutor_069,0,Hints/Tutor_069,,Open the camera box,Открой ящик с фотоаппаратом.,打开相机盒。,Ouvrez la boîte de l’appareil photo.,Öffne den Kamera-Behälter.,Abrir la caja de la cámara,Abra a caixa da câmera,打開相機盒。,,Otwórz skrzynkę aparatu,カメラボックスを開く
1385,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1386,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1387,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1388,UI/LiftCam_Notify,0,UI/LiftCam_Notify,"Сообщение о том, что лифт в движении",Unavailable now,Сейчас это сделать невозможно.,当前不可用,Indisponible pour le moment,Derzeit nicht verfügbar,No disponible,Indisponível agora,目前不可用,,Jeszcze niedostępne,今は使用できない
1389,UI/LiftCam_OpenDoors,0,UI/LiftCam_OpenDoors,Открыть двери,Open doors,Открыть двери,开门,Ouvrir les portes,Offene Türen,Abrir las puertas,Abrir portas,開門,,Otwórz drzwi,ドアを開ける
1390,UI/LiftCam_GoDown,0,UI/LiftCam_GoDown,Отправить вниз,Send down,Отправить вниз,降下电梯,Faire descendre,Nach unten schicken,Descender,Descer,降下電梯,,Wyślij na dół,下へ送る
1391,UI/LiftCam_TakeAction,0,UI/LiftCam_TakeAction,Принять меры,Take action,Принять меры,采取行动,Prendre des mesures,Handeln,Tomar medidas,Agir,採取行動,,Podejmij działanie,対処する
1392,UI/LiftCam_Isolate,0,UI/LiftCam_Isolate,Изолировать,Isolate,Изолировать,隔离,Isoler,Isolieren,Aislar,Isolar,隔離,,Izoluj,隔離する
1393,UI/LiftCam_Exterminate,0,UI/LiftCam_Exterminate,Уничтожить,Exterminate,Уничтожить,消灭,Exterminer,Vernichten,Exterminar,Aniquilar,消滅,,Zlikwiduj,抹消する
1394,UI/LiftCam_Release,0,UI/LiftCam_Release,Выпустить (наверху),Let out,Выпустить наружу,放出,Laisser sortir,Herauslassen,Dejar marchar,Liberar,放出,,Wypuść,外に出す
1395,UI/LiftCam_LetGoDown,0,UI/LiftCam_LetGoDown,Пропустить (вниз),Let in,Пропустить вниз,放入,Laisser rentrer,Hineinlassen,Dejar pasar,Deixar entrar,放入,,Wpuść,中に入れる
1396,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1397,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1398,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1399,UI/Print,0,UI/Print,,Print,Распечатать,打印,Imprimer,Drucken,Imprimir,Imprimir,列印,,Drukuj,印刷する
1400,UI/LiftCam_MovNotify,0,UI/LiftCam_MovNotify,,The elevator is moving. You have to wait until it stops.,Лифт в движении. Необходимо дождаться его остановки.,电梯正在运行，请等待其停稳。,L’ascenseur se déplace. Vous devez attendre qu’il s’arrête.,"Der Aufzug ist in Bewegung. Du musst warten, bis er zum Stillstand kommt.",El ascensor está en movimiento. Espera a que se pare.,O elevador está em movimento. Você precisa aguardar ele parar.,電梯正在移動，請等待其停穩。,,Winda w ruchu. Zaczekaj aż się zatrzyma.,エレベーターは作動中だ。停止するまで待て。
1401,UI/LiftCam_PassNotify,0,UI/LiftCam_PassNotify,,Passengers are entering or exiting the elevator. You have to wait for them to finish.,"Пассажиры заходят в лифт или выходят из него. Нужно дождаться, когда это закончится.",乘客正在进出电梯，请等候流程结束。,Des passagers entrent ou sortent de l’ascenseur. Vous devez attendre que ce soit fini.,"Fahrgäste betreten gerade den Aufzug oder steigen aus. Du musst warten, bis sie damit fertig sind.",Espera a que todas las personas entren o salgan del ascensor.,Os passageiros estão entrando ou saindo do elevador. Você precisa aguardar até que termine.,乘客正在進出電梯，請等候進出完畢。,,Pasażerowie wsiadają lub wysiadają z windy. Zaczekaj aż skończą.,訪問者が乗降中だ。そのまま待て。
1402,Dialogue/Conversation/115/Entry/1/Dialogue Text,0,Dialogue/Conversation/115/Entry/1/Dialogue Text,"Реплика, что идет печать",Printing in progress,Печать уже идет.,打印中,Impression en cours,Der Druckvorgang läuft schon.,Imprimiendo...,Impressão em andamento,列印中,,Drukowanie w toku,印刷中
1403,Dialogue/Conversation/116/Entry/1/Dialogue Text,0,Dialogue/Conversation/116/Entry/1/Dialogue Text,"Реплика, что такую справку уже печатали",I have already printed out this one,Такую справку я уже печатал.,这张我已经打印过了,J’ai déjà imprimé ce document.,Das hab ich schon ausgedruckt.,Ya la he impreso.,Já imprimi isso,這張我已經列印過了,,Już to wydrukowałem,これはもう印刷済みだ
1404,Doc_Loc/MicroTypeOrg,0,Doc_Loc/MicroTypeOrg,,Organoid,Органоид,类器官体,Organoïde,Organoid,Organoide,Organoide,類器官體, ,Organoid,有機体
1405,Doc_Loc/MicroTypeParasy,0,Doc_Loc/MicroTypeParasy,,Parasite,Паразит,寄生虫,Parasite,Parasit,Parásito,Parasita,寄生蟲, ,Pasożyt,寄生体
1406,Doc_Loc/MicroWarn0,0,Doc_Loc/MicroWarn0,,0 (Nominal),0 (Штатная норма),0（正常）,0 (Nominal),0 (Normal),0 (Normal),0 (Normal),0（正常）, ,0 (Norma),0 (正常)
1407,Doc_Loc/MicroWarn1,0,Doc_Loc/MicroWarn1,,1 (Atypical activity),1 (Нетипичная активность),1（异常活动）,1 (Activité atypique),1 (Atypische Aktivität),1 (Actividad atípica),1 (Atividade atípica),1（異常活動）, ,1 (Nietypowa aktywność),1 (非定型活動)
1408,Doc_Loc/MicroWarn2,0,Doc_Loc/MicroWarn2,,2 (Potential threat),2 (Потенциальная угроза),2（潜在威胁）,2 (Menace potentielle),2 (Potenzielle Bedrohung),2 (Amenaza potencial),2 (Ameaça potencial),2（潛在威脅）, ,2 (Potencjalne zagrożenie),2 (潜在的脅威)
1409,Doc_Loc/MicroWarn3,0,Doc_Loc/MicroWarn3,,3 (Biohazard),3 (Биологическая опасность),3（生物危害）,3 (Danger biologique),3 (Biogefährdung),3 (Riesgo biológico),3 (Risco biológico),3（生物危害）, ,3 (Zagrożenie biologiczne),3 (バイオハザード)
1410,Doc_Loc/MicroWarn4,0,Doc_Loc/MicroWarn4,,4 (Aggressive pathogen),4 (Агрессивный патоген),4（攻击性病原体）,4 (Agent pathogène agressif),4 (Aggressiver Erreger),4 (Patógeno agresivo),4 (Patógeno agressivo),4（攻擊性病原體）, ,4 (Agresywny patogen),4 (攻撃的病原体)
1411,Doc_Loc/MicroWarn5,0,Doc_Loc/MicroWarn5,,5 (Critical infection),5 (Критическое заражение),5（危重感染）,5 (Infection critique),5 (Kritische Infektion),5 (Infección crítica),5 (Infecção crítica),5（危重感染）, ,5 (Krytyczne zakażenie),5 (重篤感染)
1412,Doc_Loc/MicroWarn6,0,Doc_Loc/MicroWarn6,,6 ([CLASSIFIED]-class threat),6 (Угроза класса [ЗАСЕКРЕЧЕНО]),6（[机密]级威胁）,6 (Menace de classe [CLASSIFIÉ]),6 (Bedrohung der Klasse [GEHEIM]),6 (Amenaza de clase [CLASIFICADO]),6 (Ameaça classe [CLASSIFICADO]),6（[機密]級威脅）, ,6 (Zagrożenie klasy [UTAJNIONE]),6 ([機密]級脅威)
1413,Doc_Loc/MicroErytName,0,Doc_Loc/MicroErytName,,Erythrocytus Vulgaris,Erythrocytus Vulgaris,普通红细胞,Erythrocytus Vulgaris,Erythrocytus Vulgaris,Erythrocytus Vulgaris,Erythrocytus Vulgaris,普通紅血球,Erythrocytus Vulgaris,Erythrocytus Vulgaris,エリトロキトゥス・ヴルガリス
1414,Doc_Loc/MicroPacmanName,0,Doc_Loc/MicroPacmanName,,Macrophagus Pakumanii,Macrophagus Pakumanii,帕库曼巨型噬食体,Macrophagus Pakumanii,Macrophagus Pakumanii,Macrophagus Pakumanii,Macrophagus Pakumanii,帕庫曼巨型噬食體,Macrophagus Pakumanii,Macrophagus Pakumanii,マクロファガス・パックマニー
1415,Doc_Loc/MicroVerorbName,0,Doc_Loc/MicroVerorbName,,Vermis Orbitans,Vermis Orbitans,环形蠕虫,Vermis Orbitans,Vermis Orbitans,Vermis Orbitans,Vermis Orbitans,環形蠕蟲,Vermis Orbitans,Vermis Orbitans,ヴェルミス・オルビタンス
1416,Doc_Loc/MicroErytDesc,0,Doc_Loc/MicroErytDesc,,A standard human red blood cell. Responsible for transporting oxygen through the body's tissue.,Стандартное красное кровяное тельце человека. Отвечает за транспортировку кислорода в тканях.,标准的人类红细胞，负责在组织中运输氧气。,Un globule rouge humain standard. Responsable du transport de l’oxygène à travers les tissus.,Eine menschliche rote Blutzelle. Verantwortlich für den Sauerstofftransport im Gewebe.,Un glóbulo rojo humano estándar. Responsable de transportar oxígeno por los tejidos.,Uma hemácia humana padrão. Responsável por transportar oxigênio pelos tecidos.,標準人類紅血球，負責在組織間運輸氧氣。, ,Standardowa ludzka czerwona krwinka. Odpowiada za transport tlenu w tkankach.,標準的なヒト赤血球。組織への酸素の運搬を担う。
1417,Doc_Loc/MicroPacmanDesc,0,Doc_Loc/MicroPacmanDesc,,A spherical microorganism. Distinguished by an abnormally wide mouth opening. Causes rapid cellular anemia.,Шарообразный микроорганизм. Отличается аномально широким ротовым отверстием. Вызывает стремительную клеточную анемию.,球形微生物，以异常宽大的口部开孔为特征，会使细胞迅速陷入贫血状态。,Un micro-organisme sphérique. Se distingue par une ouverture buccale anormalement large. Provoque une anémie cellulaire rapide.,Ein kugelförmiger Mikroorganismus. Zeichnet sich durch eine abnorm weite Mundöffnung aus. Verursacht eine rasch fortschreitende zelluläre Anämie.,Un microorganismo esférico. Se distingue por una abertura bucal anormalmente ancha. Provoca una anemia celular rápida.,Um microrganismo esférico. Distingue-se por uma abertura bucal anormalmente larga. Causa anemia celular acelerada.,球形微生物，以異常寬大的口部開孔為特徵，會使細胞迅速陷入貧血狀態。, ,Kulisty mikroorganizm. Wyróżnia się nienaturalnie szerokim otworem gębowym. Powoduje gwałtowną anemię komórkową.,球状の微生物。異常なほどに肥大した口が特徴。急速な細胞性貧血を引き起こす。
1418,Doc_Loc/MicroVerorbDesc,0,Doc_Loc/MicroVerorbDesc,,"An elongated, thread-like parasite. It does not attack cells directly but drains nutrients from a distance, depleting the cell until it disintegrates completely.","Удлиненный нитевидный паразит. Не атакует клетки напрямую, а высасывает питательные вещества на расстоянии, истощая клетку до полного распада.",细长如线的寄生虫，不直接攻击细胞，而是远距离吸取养分，使细胞逐渐衰竭直至完全解体。,"Un parasite allongé, filiforme. Il n’attaque pas directement les cellules, mais draine leurs nutriments à distance, les épuisant jusqu’à leur désintégration complète.","Ein länglicher, fadenförmiger Parasit. Er greift Zellen nicht direkt an, sondern entzieht ihnen die Nährstoffe aus der Ferne, bis die Zelle vollständig zerfällt.","Un parásito alargado y filiforme. No ataca las células directamente, sino que drena los nutrientes a distancia, agotando la célula hasta que se desintegra por completo.","Um parasita alongado, em forma de fio. Não ataca as células diretamente, mas suga nutrientes à distância, esgotando a célula até sua completa desintegração.",細長如絲的寄生蟲，並不直接攻擊細胞，而是從遠處吸取養分，使細胞逐漸衰竭直至完全瓦解。, ,"Wydłużony, nitkowaty pasożyt. Nie atakuje komórek bezpośrednio, lecz wysysa z nich składniki odżywcze na odległość, wyniszczając komórkę aż do całkowitego rozpadu.",細長い糸状の寄生体。細胞を直接攻撃するのではなく、離れた場所から栄養を吸い取り、細胞が完全に崩壊するまで衰弱させる。
1419,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1420,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1421,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1422,NewsAndReports/,0,NewsAndReports/,,,#N/A,,,,,,,,,
1423,NewsAndReports/RepHeader,0,NewsAndReports/RepHeader,Заголовок будет отрисован,Report,Отчет,报告,Rapport,Bericht,Informes,Relatório,報告,,Raport,報告する
1424,NewsAndReports/RepDefault,0,NewsAndReports/RepDefault,,"The experiment proceeded normally, and no significant events were observed.","Эксперимент прошел штатно, никаких значимых событий не наблюдалось.",实验正常进行，未观察到异常事件。,L’expérience s’est déroulée normalement ; aucun événement notable n’a été observé.,"Das Experiment verlief normal, es wurden keine nennenswerten Ereignisse beobachtet.",El experimento se ha llevado a cabo con total normalidad y sin incidentes.,O experimento transcorreu normalmente; não foram observados eventos significativos.,實驗正常進行，未觀察到異常事件。,,Doświadczenie przebiegło normalnie. Brak istotnych odkryć.,実験は正常に進行し、特に異常などは確認されなかった。
1425,NewsAndReports/RepNoExp,0,NewsAndReports/RepNoExp,,No experiments were conducted yesterday. Please note: the downtime of multifunctional isolation units may lead to adverse long-term consequences.,Вчера эксперименты не проводились. Обрати внимание: простой многофункциональных камер содержания может привести к неблагоприятным последствиям в долгосрочной перспективе.,昨日未开展任何实验。请注意：多功能隔离舱长期闲置会引发长期不良后果。,Aucune expérience n’a été menée hier. Attention : l’interruption des activités dans les quartiers d’isolement polyvalents peut entraîner des conséquences néfastes à long terme.,Gestern wurden keine Experimente durchgeführt. Bitte beachten Sie: Ausfallzeiten von multifunktionalen Isoliereinheiten können langfristig negative Folgen haben.,Ayer no hubo experimentos. Atención: La inactividad prolongada de las unidades multifunción de aislamiento podría provocar consecuencias a largo plazo.,Ontem não foram realizados experimentos. Atenção: o tempo de inatividade das unidades de isolamento multifuncionais pode acarretar consequências adversas a longo prazo.,昨日未開展任何實驗。請注意：多功能隔離艙長期閒置會引發長期不良後果。,,Dziś nie przeprowadzono żadnych doświadczeń. Uwaga: przerwa w funkcjonowaniu wielofunkcyjnych jednostek izolacyjnych może mieć poważne długotrwałe konsekwencje.,昨日は実験は行われなかった。重要：多機能隔離室の稼働停止によって、深刻な悪影響が長期に渡りもたらされる可能性がある。
1426,NewsAndReports/RepNoAnomaliesChars,0,NewsAndReports/RepNoAnomaliesChars,,The test subjects displayed no reaction to the experiment. We recommend introducing a different lineup. The method of removing current subjects remains at the discretion of the authorized person.,Испытуемые никак не отреагировали на проведенный эксперимент. Рекомендовано изменить состав испытуемых. Способ исключения испытуемых из камеры – на усмотрение уполномоченного лица.,受试个体对本次实验无任何反应。建议更换一批实验对象。现有受试者的移出处置方式由授权人员自行决定。,Les sujets testés n’ont manifesté aucune réaction lors de l’expérience. Il est recommandé de modifier la composition du groupe. La manière dont les sujets sont retirés des lieux est laissée à la discrétion de la personne habilitée.,"Die Testpersonen zeigten keinerlei Reaktion auf das Experiment. Wir empfehlen, die Zusammensetzung der Gruppe zu ändern. Die Entscheidung über die Entlassung der derzeitigen Teilnehmer liegt im Ermessen der zuständigen Person.",Los sujetos no han mostrado ningún tipo de reacción al experimento. Recomendamos introducir nuevos sujetos. El método de eliminación de los que se encuentran ahora mismo en el área es decisión de la persona al mando.,As cobaias não demonstraram nenhuma reação ao experimento. Recomendamos a introdução de um grupo diferente. O método de retirada das cobaias atuais fica a critério da pessoa autorizada.,受試個體對本次實驗無任何反應。建議更換一批實驗目標。現有受試者的移出處置方式由授權人員自行決定。,,Obiekty nie wykazały reakcji na doświadczenie. Zalecamy zbadać nowe obiekty. Metodę usunięcia obecnych obiektów wskazuje upoważniony pracownik.,被験者らには実験による反応は確認できなかった。異なるラインナップを導入することを推奨する。現在の被験者の排除方法については、権限を有する者の裁量に委ねる。
1427,NewsAndReports/RepEmptyIsoExp,0,NewsAndReports/RepEmptyIsoExp,,"Conducting an experiment in an empty isolation ward confirmed the hypothesis about the absence of invisible people, objects, otherworldly entities, and other imperceptible phenomena inside.","Проведение эксперимента в пустом изоляторе подтвердило гипотезу об отсутствии в помещении невидимых людей, предметов, потусторонних сущностей и иных незримых объектов.",在空隔离病房内进行实验，证实了关于内部不存在隐形人、物体、异界实体及其他不可感知现象的假设。,"Une expérience menée dans un quartier d’isolement vide a permis de confirmer l’hypothèse selon laquelle il n’y avait à l’intérieur ni personnes invisibles, ni objets, ni entités d’un autre monde, ni aucun autre phénomène imperceptible.","Das Experiment im leeren Isolierbereich bestätigte die Hypothese, dass sich darin keine unsichtbaren Menschen, Gegenstände, jenseitigen Wesen oder andere nicht wahrnehmbare Phänomene befinden.","El experimento llevado a cabo en el área de aislamiento vacía ha confirmado la hipótesis sobre la ausencia de gente, objetos y entidades extraterrestres invisibles, y de los fenómenos imperceptibles.","A realização de um experimento em uma ala de isolamento vazia confirmou a hipótese sobre a ausência de pessoas invisíveis, objetos, entidades alienígenas e outros fenômenos imperceptíveis no interior do local.",在空隔離病房內進行實驗，證實了關於內部不存在隱形人、物體、異界實體及其他不可感知現象的假設。,,"Przeprowadzenie doświadczenia w pustej izolatce potwierdziło hipotezę o nieistnieniu niewidzialnych ludzi, obiektów, istot pozaświatowych i innych niedostrzegalnych fenomenów w izolatce.",誰もいない隔離病棟で実験を行ったところ、内部には透明人間やオブジェクト、異界の存在、その他の不可視の現象は見られないという仮説が確立された。
1428,NewsAndReports/RepUnlockHeader,0,NewsAndReports/RepUnlockHeader,,New operations available:,Доступны новые операции:,已解锁全新管控措施：,Nouvelles opérations disponibles :,Neue Funktionen verfügbar:,Nuevas operaciones disponibles:,Novas operações disponíveis:,已解鎖全新行動：,,Dostępne nowe operacje:,実行可能な新たな作戦：
1429,NewsAndReports/RandomNews_1,0,NewsAndReports/RandomNews_1,,GOJO SATORU ARRIVED IN SHIBUYA,ГОДЖО САТОРУ ПРИБЫЛ В СИБУЮ,乌条舞抵达涩谷,SATORU GOJO EST ARRIVÉ À SHIBUYA,SATORU GOJO IN SHIBUYA ANGEKOMMEN,GOJO SATORU HA LLEGADO A SHIBUYA,GOJO SATORU CHEGOU A SHIBUYA,烏條舞降臨澀谷,,GOJO SATORU PRZYBYŁ DO SHIBUYA,五条悟が渋谷に登場
1430,NewsAndReports/RandomNews_2,0,NewsAndReports/RandomNews_2,,SECOND SOCK LOCATED BY INVESTIGATORS,СЛЕДОВАТЕЛИ ОБНАРУЖИЛИ ВТОРОЙ НОСОК,调查人员寻获第二只袜子,LES ENQUÊTEURS ONT RETROUVÉ LA SECONDE CHAUSSETTE,SENSATION: ERMITTLER FINDEN ZWEITE SOCKE,LOS INVESTIGADORES HAN HALLADO EL SEGUNDO CALCETÍN,SEGUNDA MEIA LOCALIZADA PELOS INVESTIGADORES,調查人員尋獲第二隻襪子,,ŚLEDCZY WYKRYLI DRUGĄ SKARPETĘ,捜査員、もう片方の靴下を特定
1431,NewsAndReports/RepRubberDuck_Normal,0,NewsAndReports/RepRubberDuck_Normal,,The exposure experiment proceeded as planned. The yellow color and shape of the object are believed to have a positive effect on the subjects' hormonal levels and mood.,"Экспозиция объекта прошла в штатном режиме. Желтый цвет и форма объекта, предположительно, положительно влияют на гормональный фон и настроение испытуемых.",暴露实验按计划完成。该实验器物的黄色外观与外形，经判定可正向调节受试者的激素水平与情绪。,L’expérience d’exposition s’est déroulée comme prévu. On estime que la couleur jaune et la forme de l’objet ont un effet positif sur les niveaux hormonaux et l’humeur des sujets.,"Das Belastungsexperiment verlief wie geplant. Es wird angenommen, dass die gelbe Farbe und die Form des Objekts einen positiven Einfluss auf den Hormonhaushalt und die Stimmung der Testpersonen haben.",El experimento de exposición ha sido todo un éxito. El color amarillo y la forma del objeto han tenido un efecto positivo en los niveles hormonales de los sujetos.,O experimento de exposição transcorreu conforme o planejado. Acredita-se que a cor amarela e a forma do objeto tenham um efeito positivo nos níveis hormonais e no humor dos participantes.,暴露實驗按計劃完成。該實驗器物的黃色外觀與外形，經判定可正向調節受試者的激素水平與情緒。,,"Doświadczenie ekspozycyjne przebiegło zgodnie z planem. Uważamy, że żółta barwa i kształt obiektu mają pozytywny wpływ na poziomy hormonów i nastrój obiektu.",曝露実験は予定通りに実行された。あの黄色とオブジェクトの形状は、被験者のホルモンバランスや情緒にポジティブな効果をもたらしているようだ。
1432,NewsAndReports/RepDisco_Normal,0,NewsAndReports/RepDisco_Normal,,The acoustic test yielded significant results: [redacted]. The subject's seven attempts to initiate a dance sequence during the experiment were decisively suppressed.,"Акустический тест показал значительные результаты: [данные удалены]. Попытки испытуемого пуститься в пляс, предпринятые за время проведения эксперимента семь раз, были решительно пресечены.",声学测试取得了重大成果：[已删除]。实验过程中受试者七次试图自主起舞，均被有效压制。,Les essais acoustiques ont donné des résultats significatifs : [supprimé]. Les sept tentatives du sujet visant à entamer une séquence de danse au cours de l’expérience ont été résolument réprimées.,"Der akustische Test lieferte aussagekräftige Ergebnisse: [geschwärzt]. Die sieben Versuche einer Testperson, während des Experiments eine Tanzsequenz einzuleiten, wurden entschieden unterbunden.",La prueba acústica ha revelado información muy importante: [censurado]. Se han contenido los siete intentos del sujeto de iniciar un baile.,O teste acústico produziu resultados significativos: [confidencial]. As sete tentativas da cobaia de iniciar uma sequência de dança durante o experimento foram reprimidas de forma decisiva.,聲學測試取得了重大成果：[已刪除]。實驗過程中受試者七次試圖自主起舞，均被有效壓制。,,Test akustyczny przyniósł istotne wyniki: [ocenzurowano]. Siedem prób zainicjowania sekwencji tanecznej przez badany obiekt w trakcie doświadczenia zostało zdecydowanie stłumionych.,音響テストは非常に重要な結果をもたらした：[検閲済]。実験中、被験者がダンスシーケンスを始めようと7回試みたが、いずれも断固として阻止された。
1433,NewsAndReports/RepTesla_Normal,0,NewsAndReports/RepTesla_Normal,,"The experimental energy node elicited mixed reactions in the subjects. Spikes of activity across different brain regions, as well as increased motor function, were registered.","Экспериментальный энергетический узел вызвал у испытуемых смешанные реакции. Отмечены всплески активности различных участков мозга, а также повышенная двигательная активность.",实验能量光球引发受试者分化反应，监测到多脑区神经活动峰值，同时肢体运动机能异常亢进。,"Le nœud énergétique expérimental a suscité des réactions mitigées chez les sujets. On a observé des pics d’activité dans différentes zones du cerveau, ainsi qu’une amélioration des fonctions motrices.",Der experimentelle Energieknoten löste bei den Testpersonen gemischte Reaktionen aus. Es wurden Aktivitätsspitzen in verschiedenen Hirnregionen sowie eine gesteigerte Motorik festgestellt.,El nodo de energía experimental ha provocado reacciones dispares entre los sujetos. Se han registrado picos de actividad en varias zonas distintas del cerebro así como una mejora en la función motora.,"O nódulo de energia experimental provocou reações mistas nas cobaias. Foram registrados picos de atividade em diferentes regiões do cérebro, bem como um aumento da função motora.",實驗能量光球引發受試者分化反應，監測到多腦區神經活動峰值，同時肢體運動機能異常亢進。,,"Eksperymentalny węzeł energetyczny wywołał u badanych mieszane reakcje. Odnotowano skoki aktywności w różnych obszarach mózgu, a także zwiększoną sprawność motoryczną.",実験的エネルギーノードに関しては、被験者らの間で様々な反応が見られた。脳の異なる領域における活動の急上昇と運動機能の向上が記録された。
1434,NewsAndReports/RepPurpleFog_Normal,0,NewsAndReports/RepPurpleFog_Normal,,"The experiment on long-term inhalation of the Lilac-8 gas was considered a success, despite the following observed side effects: cough, confusion, dizziness, itching, hallucinations, shortness of breath, weakness, panic attacks, bleeding from [redacted], tinnitus, grogginess, paranoid psychosis, swelling of the legs, aching joints, and flatulence.","Эксперимент по длительной ингаляции газа ""Сирень-8"" признан успешным, несмотря на следующие наблюдавшиеся побочные эффекты: кашель, спутанность сознания, головокружение, зуд, галлюцинации, одышку, слабость, панические атаки, кровотечение из [данные удалены], звон в ушах, помутнение рассудка, параноидальный психоз, отечность ног, ломоту в суставах и метеоризм.",8号丁香气体长效吸入实验判定成功，实验观测到以下副作用：咳嗽、意识混乱、眩晕、皮肤瘙痒、幻视幻听、呼吸困难、浑身乏力、急性惊恐发作、[已删除]出血、耳鸣、意识昏沉、偏执型精神障碍、腿部浮肿、关节酸痛、肠胃胀气。,"L’expérience portant sur l’inhalation à long terme du gaz Lilas-8 a été considérée comme réussie, malgré les effets secondaires suivants qui ont été observés : toux, confusion, vertiges, démangeaisons, hallucinations, essoufflement, fatigue, crises de panique, saignements au niveau de [supprimé], acouphènes, état de somnolence, psychose paranoïaque, gonflement des jambes, douleurs articulaires et flatulences.","Das Experiment zur langfristigen Inhalation des Gases „Lilac-8“ wurde als Erfolg gewertet, trotz der folgenden beobachteten Nebenwirkungen: Husten, Verwirrung, Schwindel, Juckreiz, Halluzinationen, Atemnot, Schwäche, Panikattacken, Blutungen aus [geschwärzt], Tinnitus, Benommenheit, paranoide Psychose, Schwellungen in den Beinen, Gelenkschmerzen und Blähungen.","El experimento de larga exposición a la inhalación del gas Lilo-8 ha sido todo un éxito pese a los efectos secundarios listados a continuación: tos, confusión, mareos, picores, alucinaciones, falta de aliento, debilidad, ataques de pánico, hemorragias en [censurado], acúfenos, adormecimiento, paranoia, psicosis, hinchazón en las piernas, dolor de las articulaciones y flatulencias.","A experiência com a inalação prolongada do gás Lilás 8 foi considerada um sucesso, apesar dos seguintes efeitos colaterais observados: tosse, confusão, tontura, coceira, alucinações, falta de ar, fraqueza, ataques de pânico, sangramento [confidencial], zumbido, sonolência, psicose paranóica, inchaço nas pernas, dores nas articulações e flatulência.",8號丁香氣體長效吸入實驗判定成功，實驗觀測到以下副作用：咳嗽、意識混亂、眩暈、皮膚搔癢、幻視幻聽、呼吸困難、渾身乏力、急性驚恐發作、[已刪除]出血、耳鳴、意識昏沉、偏執型精神障礙、腿部浮腫、關節酸痛、腸胃脹氣。,,"Doświadczenie dotyczące długotrwałego wdychania gazu Lilac-8 uznano za sukces, pomimo zaobserwowanych następujących skutków ubocznych: kaszel, dezorientacja, zawroty głowy, swędzenie, halucynacje, duszności, osłabienie, ataki paniki, krwawienie z [ocenzurowano], szumy uszne, otępienie, psychoza paranoiczna, obrzęk nóg, bóle stawów i wzdęcia.",ライラック8ガスの長期に渡る吸入実験は成功とみなされた。ただし、以下の副作用が確認されている：咳、錯乱、めまい、痒み、幻覚、息切れ、脱力感、パニック発作、[検閲済]からの出血、耳鳴り、意識混濁、被害妄想性精神病、脚の浮腫、関節痛、および腹部膨満。
